SampleName,InsectTreeName,Type,SpecimenIdentification,TopSpecies,TopGenus,TopOrder,TopFamily,PlantTreeName,status
P001_WB06,DrabesciniDryadomorphapallida,FromILL_137401_ID,DrabesciniDryadomorphapallida,sativa,Cannabis,Rosales,Cannabaceae,Cannabis_sativa,prune
P001_WB06,DrabesciniDryadomorphapallida,FromILL_137401_ID,DrabesciniDryadomorphapallida,latifolia,Silene,Caryophyllales,Caryophyllaceae,Silene_latifolia,prune
P001_WB06,DrabesciniDryadomorphapallida,FromILL_137401_ID,DrabesciniDryadomorphapallida,arguta,Actinidia,Ericales,Actinidiaceae,Actinidia_arguta,prune
P001_WC04,StegelytriniKunasiacarina,FromILL_137401_ID,StegelytriniKunasiacarina,vulgaris,Silene,Caryophyllales,Caryophyllaceae,Silene_vulgaris,prune
P001_WC04,StegelytriniKunasiacarina,FromILL_137401_ID,StegelytriniKunasiacarina,sp.,Syzygium,Myrtales,Myrtaceae,Syzygium_sp.,bind
P001_WE04,Stegelytrinin.gen.T1n.sp.1,FromILL_137401_ID,Stegelytrinin.gen.T1n.sp.1,pilosa,Bidens,Asterales,Asteraceae,Bidens_pilosa,prune
P001_WE10,MacrosteliniDalbulusmaidis,FromILL_137401_ID,MacrosteliniDalbulusmaidis,acuminata,Musa,Zingiberales,Musaceae,Musa_acuminata,bind
P001_WE10,MacrosteliniDalbulusmaidis,FromILL_137401_ID,MacrosteliniDalbulusmaidis,cordifolia,Nephrolepis,Polypodiales,Nephrolepidaceae,Nephrolepis_cordifolia,prune
P001_WE10,MacrosteliniDalbulusmaidis,FromILL_137401_ID,MacrosteliniDalbulusmaidis,reticulata,Citrus,Sapindales,Rutaceae,Citrus_reticulata,prune
P001_WE12,ScaphoideiniAmimenusmojiensis,FromILL_137401_ID,ScaphoideiniAmimenusmojiensis,aggregata,Miconia,Myrtales,Melastomataceae,Miconia_aggregata,prune
P001_WE12,ScaphoideiniAmimenusmojiensis,FromILL_137401_ID,ScaphoideiniAmimenusmojiensis,altissimus,Ailanthus,Sapindales,Simaroubaceae,Ailanthus_altissimus,bind
P001_WE12,ScaphoideiniAmimenusmojiensis,FromILL_137401_ID,ScaphoideiniAmimenusmojiensis,spontaneum,Saccharum,Poales,Poaceae,Saccharum_spontaneum,prune
P001_WF05,CicaduliniRhopalopyxelongata,FromILL_137401_ID,CicaduliniRhopalopyxelongata,biloba,Ginkgo,Ginkgoales,Ginkgoaceae,Ginkgo_biloba,prune
P001_WF06,SelenocephaliniAbimwasp.,FromILL_137401_ID,SelenocephaliniAbimwasp.,spiciformis,Brachystegia,Fabales,Fabaceae,Brachystegia_spiciformis,prune
