Row Sort,Column Sort,RAPiD Genomics Sample Code,Unique Client Code,Ct value,Assembly quality,# phyt_protein-coding genes,,# phyt_barcode_gene,,# other_phyt_gene,,# plant_barcode_gene,,RAPiD Genomics Lab Use ONLYConcentration (ng / uL),RAPiD Genomics Lab Use ONLYTotal DNA (ng),Concentration (ng / uL),Volume (uL),ul,eluition,16Sr assignment,Tuf,SecA,SecY,rpIV-rpsC,groEl,amp gene,other rp,Dnak,ffh,ftsY,GroES,GrpE,imp,yidC,vmp,Subfamily,Tribe,subtribe,Genus,species,Country,,,,,,,,,
,,,,,,180,prop.%,43,prop.%,133,prop.%,4,prop.%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,ILL_137402_P001_WA01,5-64.1,23.67,good,93,52,12,28,80,60,1,25,9.053939967,316.8878989,1,35,,,16SrXIV-E,VI,V,,V,V,,rpIB/rpIO/rpIP/rpsS,,,,,,,,,Deltocephalinae,Athysanini,,New Genus T1,n. sp.,Thailand,17°27.901'N,101°21.301'E,700m,5-12.xii.2006,Malaise trap,Patikom Tumtip leg.,Phu Ruea NP Old road to the park  ,,
2,9,ILL_137402_P001_WA02,2-14.1,32.09,bad,3,2,0,0,0,0,3,75,25.60758555,896.2654944,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,ILL_137402_P001_WA03,2-33.1,34.11,bad,4,2,0,0,2,2,2,50,21.63870578,757.3547022,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25,ILL_137402_P001_WA04,32.81.1,32.64,bad,3,2,0,0,2,2,1,25,9.73732324,340.8063134,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,33,ILL_137402_P001_WA05,33-9.1,20.41,good,132,73,16,37,114,86,2,50,4.55938075,159.5783262,1,35,30,1,,XI,XI,XI,XI,XI,,rpIB/rpIO/rpIP/rpsS,,,,,,,,,Deltocephalinae,Stenometopiini,,Stirellus,productus,CHINA,30.77105ºN,106.12040ºE ,Sichuan Nanchong 303m 8 Sept 2015 CH Dietrich sweeping grass,,,,,,
6,41,ILL_137402_P001_WA06,34.17.1,32.44,bad,22,12,4,9,18,14,0,0,2.672191558,93.52670452,1,35,20,2,16SrXIV-E var,oBa,,,,,,oBA(rpIB)/16SrXI(rpIP),16SrXI,,,,,,,,Deltocephalinae,Penthimiini,,Vulturnus,sp.,MADAGASCAR,23° 26.45' S,43° 53.98’,"Tulear, Ambohimahavelona village 33 km NE of Tulear  8 – 17  September  2012  E Calif.  Acad.  of  Sciences coll:  M.Irwin,  R.Harin'Hala, malaise trap, dry forest, elev 45 m, MG-50B-100",,,,,,
7,49,ILL_137402_P001_WA07,1-1.1,32.36,bad,3,2,1,2,0,0,2,50,16.13484203,564.7194712,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,57,ILL_137402_P001_WA08,1-2.1,33.08,bad,8,4,1,2,6,5,1,25,14.05315145,491.8603007,1,35,,,16SrXIV-E ,,,,,,,,,,,,,,,,Deltocephalinae,Scaphoideini,,Scaphoidophyes,n. sp.,"ZAMBIA: Northwestern Prov.~11km SW Mwinilunga Nkunyi Local Forest S11°48.809’ E 24°21.953’sweep,    .XI.2007, JN Zahniser ZA-04-1",,,,,,,,,
9,65,ILL_137402_P001_WA09,5-60.1,33.34,bad,8,4,2,5,3,2,3,75,24.24081901,848.4286653,1,35,,,,,,,,,,rpIB/rpsS,,,,,,,,,,,,,,,,,,,,,,,
10,73,ILL_137402_P001_WA10,5-56.1,26.87,no data,no data,,,0,,0,,0,24.40377964,854.1322872,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,81,ILL_137402_P001_WA11,5-36.1,34.02,bad,11,6,2,5,8,6,1,25,12.53919466,438.8718131,1,35,,,16SrXIV-D,0Ba,,,,,,,,,,,,,,,Deltocephalinae,Deltocephalini,,Horouta,spinosa?,Australia,34 09.009'S,150 49.789'E,"New South Wales: 75/203 Fairburn Rd, Wedderburn, south of Sydney. Home of Dave and Tish Britton.  135m. 1-Jan-11. K. Hill and D. Marshall. MV light",,,,,,
12,89,ILL_137402_P001_WA12,5-26.1,34.36,no data,no data,,,0,,0,,0,9.458713137,331.0549598,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,ILL_137402_P001_WB01,5-21.2,34.16,bad,9,5,2,5,5,4,2,50,1.14772118,40.17024129,1,35,10,2,,oBa,,,,,,rpIP,,,,,,,,,Deltocephalinae,Stenometopiini,,Stirellus,indrus,"TAIWAN: TaichungWufeng, Taiwan Agr. Res. Inst.200m,24°1'37""N120°41'44""E20 Jun 2004, C.H. Dietrich23-1, sweeping",,,,,,,,,
14,10,ILL_137402_P001_WB02,30-20.1,20.01,good,156,87,20,47,133,100,,0,1.668143826,58.38503391,1,35,25,1,,I,I,I,I,I,,rpIB/rpIO/rpIP/rpsS,,,,,,,,,Deltocephalinae,Deltocephalini,,Graminella,sonora,"USA:Arizona, Pinal Co., Gila R. Mgmt. Area, The Shores, 5 km N Winkelman  33º01.26'N 110º44.32'W, 600m 11-21.ix.2014 ME Irwin, MJ Sharkey, Malaise in dry outwash",,,,,,,,,
15,18,ILL_137402_P001_WB03,6-54.1,28.29,bad,25,14,1,2,21,16,3,75,15.14130789,529.9457762,1,35,,,16SrXI-B,,,,,,,,,,,,,,,,Deltocephalinae,Deltocephalini,,Bolarga,nigriloba,"ARGENTINA: Entre Rios,Rt. 14 5 km N Guayaguaychu,32.96674ºS,58.58857ºW,20,16-Feb-14,16-Feb-14,C.H.Dietrich,vacuum,AR14-30-1",,,,,,,,,
16,26,ILL_137402_P001_WB04,7-3.1(1),18.57,good,85,47,11,26,72,54,2,50,14.78910267,517.6185933,1,35,,,,XI,XI,,XI,XI,,rpIB/rpIO/rpIP/rpsS,,,,,,,,,Deltocephalinae,Chiasmini,,Gurawa,minorcephala,"CHINA: Shaanxi, Qinling Mts., ca. Huoditang, 33.44370N 108.44682E 1679m 5-Jul-2012 CH Dietrich, vacuum",,,,,,,,,
