Table S1. Information of taxon sampling in this study.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sequencing_ID,SRA_accession,Subfamily,Tribe,Genus,Subgenus,Species,Identified_by,Gap% in the concatenated nt alignment,Gap% in the concatenated aa alignment,Host,Collection_date,Collection_locality,Altitude
P015_WA09,SRR17213264,Aphrodinae,Portanini,Portanus,-,sp.,Christopher H. Dietrich,4.60%,4.60%,-,10-Oct-2002/13-Oct-2002,"Peru: PASCO Department, Parque Nacional Yanachaga Chemillen",1050m
P013_WB10,SRR17213263,Neocoelidiinae,Krocodonini,Krocolidia,-,rufilinea,Christopher H. Dietrich,5.40%,5.30%,-,30-Mar-2016,"Brazil: Roraima, Serra do Tepequem",604m
P013_WH12,SRR17212912,Neocoelidiinae,Neocoelidiini,Coelella,-,distincta,Christopher H. Dietrich,6.20%,6.20%,-,10-Sep-2014/20-Sep-2014,"USA: Arizona, Florida Canyon",-
P015_WA07,SRR17213089,Neocoelidiinae,Neocoelidiini,Neocoelidia,-,compta,Christopher H. Dietrich,4.70%,4.70%,-,26-Apr-2015/02-May-2015,"USA: Arizona, Gila County, 21 km S Globe",1480m
P004_WG01,SRR17212858,Deltocephalinae,Arrugadini,Arrugada,-,affinis,James N. Zahniser,11.40%,11.40%,-,24-Oct-2002,"Peru: Huanuco, 8 km S Tingo Maria, Pte. Cuevas",620m
P004_WF12,SRR17213357,Deltocephalinae,Dorycephalini,Dorycephalus,-,baeri,James N. Zahniser,1.60%,1.60%,-,01-July-1999,"Kyrgyzstan: Naryn, Moldo-Too Ridge, E. Kara-Go Pass",2260m
P004_WE02,SRR17212828,Deltocephalinae,Drakensbergenini,Drakensbergena,-,retrospina,James N. Zahniser,9.30%,9.30%,-,25-Dec-2004,"SoSouth Africa: KwaZulu-Natal Prov., Bulwer mountain",1802m
P004_WD02,SRR17212789,Deltocephalinae,Hypacostemmini,Hypacostemma,-,uniforme,James N. Zahniser,7.70%,7.70%,-,05-Feb-1996/08-Feb-1996,"South Africa: KwaZulu-Natal Prov., Ngome Forest Station",1100m
P001_WG07,SRR17212964,Deltocephalinae,Luheriini,Luheria,-,constricta,Christopher H. Dietrich,3.60%,3.60%,-,20-Jan-2008,"Argentina: Salta, rt 9 km 1535",900m
P001_WG03,SRR17212953,Deltocephalinae,Magnentiini,Magnentius,-,clavatus,Christopher H. Dietrich,6.50%,6.40%,-,05-Jan-2011,"India: Karnataka Mudigere, Revanna",940m
