origin,person,personal-id,sampling_event_code_2022,molecular-id_AHE,Subfamily,tribe,tribe_uncert,subtribe,genus,genus_uncert,species,species_uncert,sex,sex_uncert,date_DNAextraction,year,country,Date,collector,collection_Method,Country,cooY,cooX,altitude,location,AHE1,AHE1 length,AHE-BLAST,AHE-BLAST hit,AHE-identity(coverage),iPhycl,AHE1 iPhycl-Ca. Phytoplasma ass.,AHE1 iPhycl-16S group/subgroup classification,RFLP unique restriction enzymes,AHE2 length,AHE1-AHE2,AHE2 iPhycl-Ca. Phytoplasma ass.,AHE2 iPhycl-16S group/subgroup classification,CAT-AHE,CATcons-AHE,AHE probe kit 2,qPCR,qPCR-Cq,CAT-qPCR
GoLife,VT,DEL-011,9TW,P002_WH03,Deltocephalinae,Opsiini,,Opsiina,Alishania,,formosana,,M,,,2004,Taiwan,15-Jun-04,C.H. Dietrich,sweep,Taiwan,"24°07'12.0""N","121°14'22.0""E",2700,"Nantou Yuanfeng, Rt.14 km",full,1523,16SrIV-C,X80117.1,96(100),XXIV A related new group,"The query 16S rDNA sequence shares less than 97.5% similarity with that of any previously recognized ‘Candidatus Phytoplasma’ species reference strain. The most closely related phytoplasma is ‘Sorghum bunchy shoot phytoplasma ’ (GenBank accession: AF509322), whose 16S rDNA sequence shares 96.4459930313589% similarity with the query. According to IRPCM (2004), the phytoplasma under study may represent a new ‘Candidatus Phytoplasma’ species. Please be advised that operation of iPhyClassifier is soley dependant upon sequence information, any error in a query seqeunce, which misrepresents the phytoplasma strain under study, could result in errorneous 'Candidatus Phytoplasma' species assignment. Please make sure the accuracy of your query sequence before using iPhyClassifier","The virtual RFLP pattern derived from the query 16S rDNA F2nR2 fragment is different from the reference patterns of all previously established 16Sr groups/subgroups. The most similar is the reference pattern of the 16Sr group XXIV, subgroup A (GenBank accession: AF509322), with a similarity coefficient of 0.81, which is less than 0.85. This strain may represent a new group. We recommend you compare virtual RFLP patterns and identify the key enzymes that distinguish the new RFLP pattern from previously recognized group/subgroup patterns. Please be advised that operation of iPhyClassifier is solely dependant upon sequence information, any error ina query sequence, which misrepresents the phytoplasma strain under study, could result in erroneous group/subgroup classification. Please make sure the accurace of your query sequence before using iPhyClassifier.","BfaI, BstUI, HaeIII, Hinfl, MseI, TaqI",1523,identical,"1 The query 16S rDNA sequence shares less than 97.5% similarity with that of any previously recognized ‘Candidatus Phytoplasma’ species reference strain. The most closely related phytoplasma is ‘Sorghum bunchy shoot phytoplasma ’ (GenBank accession: AF509322), whose 16S rDNA sequence shares 96.5083798882682% similarity with the query. According to IRPCM (2004), the phytoplasma under study may represent a new ‘Candidatus Phytoplasma’ species. Please be advised that operation of iPhyClassifier is soley dependant upon sequence information, any error in a query seqeunce, which misrepresents the phytoplasma strain under study, could result in errorneous 'Candidatus Phytoplasma' species assignment. Please make sure the accuracy of your query sequence before using iPhyClassifier","1 --The virtual RFLP pattern derived from the query 16S rDNA F2nR2 fragment is different from the reference patterns of all previously established 16Sr groups/subgroups. The most similar is the reference pattern of the 16Sr group XXIV, subgroup A (GenBank accession: AF509322), with a similarity coefficient of 0.81, which is less than 0.85. This strain may represent a new group. We recommend you compare virtual RFLP patterns and identify the key enzymes that distinguish the new RFLP pattern from previously recognized group/subgroup patterns. Please be advised that operation of iPhyClassifier is solely dependant upon sequence information, any error ina query sequence, which misrepresents the phytoplasma strain under study, could result in erroneous group/subgroup classification. Please make sure the accurace of your query sequence before using iPhyClassifier.",full,phy,,pos,25.851,phy
not in GoLife,JZ,DEL_11,6MG,P011_WF07,Deltocephalinae,Stenometopiini,,,n.gen.,?,sp.,,M,,,2002,Madagascar,12-Feb-02,,,Madagascar,"21°13'34.2""S","47°22'11.4""E",1110,"Fianarantsoa Prov., Parc National Ranomafana, Vohiparara, at broken bridge",full,1525,16SrIV-C,MT293886.1,96.1(98),XXIV A related new group,"The query 16S rDNA sequence shares less than 97.5% similarity with that of any previously recognized ‘Candidatus Phytoplasma’ species reference strain. The most closely related phytoplasma is ‘Sorghum bunchy shoot phytoplasma ’ (GenBank accession: AF509322), whose 16S rDNA sequence shares 96.5156794425087% similarity with the query. According to IRPCM (2004), the phytoplasma under study may represent a new ‘Candidatus Phytoplasma’ species. Please be advised that operation of iPhyClassifier is soley dependant upon sequence information, any error in a query seqeunce, which misrepresents the phytoplasma strain under study, could result in errorneous 'Candidatus Phytoplasma' species assignment. Please make sure the accuracy of your query sequence before using iPhyClassifier","The virtual RFLP pattern derived from the query 16S rDNA F2nR2 fragment is different from the reference patterns of all previously established 16Sr groups/subgroups. The most similar is the reference pattern of the 16Sr group XXIV, subgroup A (GenBank accession: AF509322), with a similarity coefficient of 0.80, which is less than 0.85. This strain may represent a new group. We recommend you compare virtual RFLP patterns and identify the key enzymes that distinguish the new RFLP pattern from previously recognized group/subgroup patterns. Please be advised that operation of iPhyClassifier is solely dependant upon sequence information, any error ina query sequence, which misrepresents the phytoplasma strain under study, could result in erroneous group/subgroup classification. Please make sure the accurace of your query sequence before using iPhyClassifier.","BfaI, BstUI, Hinfl, MseI, TaqI",1525,identical,,,full,phy,,pos,27.204,phy
GoLife,VT,DEL-087,18MN,P003_WG01,Deltocephalinae,Paralimnini,,Paralimnina,Adarrus,,n.sp.,?,M,,,2005,Mongolia,7/14-15/2005,,,Mongolia,"50°18'07.0""N","101°55'43.3""E",1063,"Hovsgol Erdenebulgan Uur (Uuriin) Gol 32.6 km NE of Erdenebulgan, 1012 Gelhaus Field Number 65 Way Pt",part,1235,16SrV-C,FN562932.1,99.6(100),??,The query 16S rDNA sequence shares 99.7% similarity with that of the ‘'Candidatus Phytoplasma vitis' ’ reference strain (GenBank accession: AF176319). The phytoplasma under study is a ‘'Candidatus Phytoplasma vitis' ’-related strain,the run does not work,,1235,identical,,RUN with NEW SEQ: The query 16S rDNA sequence shares 98.0% similarity with that of the ‘'Candidatus Phytoplasma ziziphi' ’ reference strain (GenBank accession: AB052876). The phytoplasma under study is a ‘'Candidatus Phytoplasma ziziphi' ’-related strain.,full,phy,,pos,32.74,oB
GoLife,VT,DEL-092,19CD,P015_WH05,Deltocephalinae,Scaphoideini,,,n.gen.ZA5,,n.sp.1,,M,,,2008,Republic of Congo,"Agu,5 2008","Braet, Sharkey",,Republic of Congo,"3°16'11.8""S","15°28'16.0""E",340,"Dept. Pool Iboubikro site, MT #6 Lesio-Loun Wildlife Reserve",part,1235,16SrV-C,FN562932.1,99.6(100),??,The query 16S rDNA sequence shares 99.7% similarity with that of the ‘'Candidatus Phytoplasma vitis' ’ reference strain (GenBank accession: AF176319). The phytoplasma under study is a ‘'Candidatus Phytoplasma vitis' ’-related strain,the run does not work,,1235,identical,,"4 The query 16S rDNA sequence shares less than 97.5% similarity with that of any previously recognized ‘Candidatus Phytoplasma’ species reference strain. The most closely related phytoplasma is ‘'Candidatus Phytoplasma ziziphi' ’ (GenBank accession: AB052876), whose 16S rDNA sequence shares 96.980854197349% similarity with the query. According to IRPCM (2004), the phytoplasma under study may represent a new ‘Candidatus Phytoplasma’ species. Please be advised that operation of iPhyClassifier is soley dependant upon sequence information, any error in a query seqeunce, which misrepresents the phytoplasma strain under study, could result in errorneous 'Candidatus Phytoplasma' species assignment. Please make sure the accuracy of your query sequence before using iPhyClassifier",full,phy,,pos,30.63,oB
not in GoLife,Guy,G14,7IL,P021_WE01,Deltocephalinae,Opsiini,,,Neoaliturus,,argillaceus,,M,,,2000,Israel,20-Jun-20,G. Sinaiko,sweep,Israel,"31°59'33.1""N","34°48'45.6""E",,Rishon Lezion,full,1525,16SrIX,MK454714.1,99.54(100),IX-J related,The query 16S rDNA sequence shares 98.9% similarity with that of the ‘'Candidatus Phytoplasma phoenicium' ’ reference strain (GenBank accession: AF515636). The phytoplasma under study is a ‘'Candidatus Phytoplasma phoenicium' ’-related strain,"The virtual RFLP pattern derived from the query 16S rDNA F2nR2 fragment is different from the reference patterns of all previously established 16Sr groups/subgroups. The most similar is the reference pattern of the 16Sr group IX, subgroup J (GenBank accession: KY986922), with a similarity coefficient of 0.97, which is less than or equal to 0.97. This strain may represent a new subgroup within the 16Sr group IX. We recommend you compare virtual RFLP patterns and identify the key enzymes that distinguish the new subgroup pattern from previously recognized group/subgroup patterns. Please be advised that operation of iPhyClassifier is solely dependent upon sequence information, any error in a query sequence, which misrepresents the phytoplasma strain under study, could result in erroneous group/subgroup classification. Please make sure the accuracy of your query sequence before using iPhyClassifier",,1525,identical,,,full,phy,,pos,21.385,phy
GoLife,VT,DEL-204,4CH,P003_WA10,Deltocephalinae,Athysanini,,,Euscelidius,,variegatus,,M,,,2015,Switzerland,25.06.2015,V. Trivellone,sweep,Switzerland,"46°46'10.6""N ","6°33'21.4""E",,Canton Vaud,full,1527,16SrI-B,AY265212.1,99.80(100),16SrI-F,99.4 Ca. P. asteris,"The virtual RFLP pattern derived from the query 16S rDNA F2nR2 fragment is identical (similarity coefficient 1.00) to the reference pattern of 16Sr group I, subgroup F (GenBank accession: AY265211). The phytoplasma under study is a member of 16SrI-F .",,1527,identical,,,full,phy,,pos,26.411,phy
GoLife,YC,40-61.1,17MN,P014_WE08,Deltocephalinae,Macrostelini,,,Macrosteles,,guttatus,,M,,,2005,Mongolia,23-Jul-05,,,Mongolia,"49°15'42.1""N","99°52'56.7""E",1618,"Hovsgol Aimag, Tumurbulag Soum, Bugcei (Bugceiin) Gol, 45.5 km SW of Moron",part,1260,16SrI-B,MK992774.1,100(100),more likely 16SrI-B,The query 16S rDNA sequence shares 99.9% similarity with that of the ‘'Candidatus Phytoplasma asteris' ’ reference strain (GenBank accession: M30790). The phytoplasma under study is a ‘'Candidatus Phytoplasma asteris' ’-related strain.,"the run does not work, but it works if we copy and paste the first 25 nuclotide of F2 segment that is missing here",,1527,identical a little bit onger,,,full,phy,,pos,26.208,phy
GoLife,YC,50-46.1,5MX,P017_WB03,Deltocephalinae,Scaphytopiini,,,Scaphytopius,,aequus,,M,,,2001,Mexico,25-Oct-01,C.H. Dietrich,sweep,Mexico,"19°59'00.0""N","97°11'00.0""W",200,"Veracruz, 6km NE 6 km NE Tlapacoyan, Cascada Encantada",full,1527,16SrI-B,EU215425.2,99.8(99),16SrI-B variant,The query 16S rDNA sequence shares 99.5% similarity with that of the ‘'Candidatus Phytoplasma asteris' ’ reference strain (GenBank accession: M30790). The phytoplasma under study is a ‘'Candidatus Phytoplasma asteris' ’-related strain,"The virtual RFLP pattern derived from the query 16S rDNA F2nR2 fragment is most similar to the reference pattern of the 16Sr group I, subgroup B (GenBank accession: AP006628), with a pattern similarity coefficient of 0.98. The phytoplasma under study is a variant of 16SrI-B",,1527,identical,,,full,phy,,pos,20.279,phy
GoLife,YC,35-14.2,13BR,P006_WF07,Deltocephalinae,Macrostelini,,,Dalbulus,,maidis,,M,,,2011,Brazil,10-May-11,"Cavichioli, Gonçalves, D.M Takiya",light,Brazil,"7°19'46.0""S","71°50'46.0""W",169,"Brazil: State of Amazonas, Ipixuna, Rio Liberdade, Com. Santa Catarina",full,1378,16SrI-B,CP035949.1,100(100),I-K related strain new subgroup,The query 16S rDNA sequence shares 99.9% similarity with that of the ‘'Candidatus Phytoplasma asteris' ’ reference strain (GenBank accession: M30790). The phytoplasma under study is a ‘'Candidatus Phytoplasma asteris' ’-related strain,"The virtual RFLP pattern derived from the query 16S rDNA F2nR2 fragment is different from the reference patterns of all previously established 16Sr groups/subgroups. The most similar is the reference pattern of the 16Sr group I, subgroup K (GenBank accession: U96616), with a similarity coefficient of 0.92, which is less than or equal to 0.97. This strain may represent a new subgroup within the 16Sr group I. We recommend you compare virtual RFLP patterns and identify the key enzymes that distinguish the new subgroup pattern from previously recognized group/subgroup patterns. Please be advised that operation of iPhyClassifier is solely dependent upon sequence information, any error in a query sequence, which misrepresents the phytoplasma strain under study, could result in erroneous group/subgroup classification. Please make sure the accuracy of your query sequence before using iPhyClassifier.","AluI, BfaI, BstUI, DraI,HaeIII,HpaII, KpnI",1395,identical a little bit onger,,,full,phy,,pos,23.748,phy
GoLife,VT,*-F,16FR,P012_WA01,Deltocephalinae,Chiasmini,,,Doratura,,homophyla,,M,,,2018,France,8-Aug-18,,,France,"43°51'08.3""N","1°49'26.9""E",,Montans,part,1339,16SrI-B,CP035949.1,99.93(100),more likely 16SrI-B,The query 16S rDNA sequence shares 99.8% similarity with that of the ‘'Candidatus Phytoplasma asteris' ’ reference strain (GenBank accession: M30790). The phytoplasma under study is a ‘'Candidatus Phytoplasma asteris' ’-related strain.,"the run does not work, but it works if we copy and paste the first 25 nuclotide of F2 segment that is missing here",the run does not work,1527,identical a little bit onger,,,full,phy,,pos,29.72,phy
